asset,triangles,vertices
SM_Wall_Straight_4m,620,312
SM_Wall_Half_2m,620,312
SM_Wall_Doorway_4m,772,388
SM_Wall_Window_4m,816,408
SM_Wall_Arch_4m,904,454
SM_Wall_Corner_4m,452,228
SM_Floor_4m,620,312
SM_Ceiling_4m,236,120
SM_Pillar_3m,892,448
SM_Stairs_4m,1140,572
SM_Railing_4m,1594,791
SM_Doorframe,260,132
SM_Parapet_4m,528,266
SM_Crate_Small,1456,730
SM_Crate_Large,1456,730
SM_Crate_Stack,420,212
SM_Barrel,1804,912
SM_Pallet,2164,1080
SM_Pipe_2m,1136,576
SM_Vent_Wall,1004,504
SM_Sign_Wall,620,312
SM_Rubble_Pile,1212,608
